pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Pythia_minus,etajet,1,0.0,0.21,0.5423628091812134,0.011478752829134464,0.0020273923873901367,0.002441994147375226,0.026704788208007812,0.031482815742492676,0.04296683520078659
Pythia_minus,etajet,2,0.21,0.42,0.5237073302268982,0.011227124370634556,0.0021097660064697266,0.0023892775643616915,0.022272825241088867,0.030072569847106934,0.0392000786960125
Pythia_minus,etajet,3,0.42,0.63,0.5157058238983154,0.011253698728978634,0.002128124237060547,0.002072948031127453,0.02355983853340149,0.029554009437561035,0.0395471528172493
Pythia_minus,etajet,4,0.63,0.84,0.548366367816925,0.01224310602992773,0.0019040107727050781,0.001919898553751409,0.03229457139968872,0.03268694877624512,0.047629620879888535
Pythia_minus,etajet,5,0.84,1.05,0.5118564367294312,0.011841224506497383,0.002267003059387207,0.0016481260536238551,0.026248574256896973,0.029326140880584717,0.04119563475251198
Pythia_minus,etajet,6,1.05,1.37,0.5001444220542908,0.010017829947173595,0.0013393759727478027,0.0011678762966766953,0.03112185001373291,0.026778101921081543,0.04229835793375969
Pythia_minus,etajet,7,1.37,1.52,0.48397308588027954,0.014949069358408451,0.001926422119140625,0.001829967019148171,0.030513882637023926,0.03282886743545532,0.04732194170355797
Pythia_minus,etajet,8,1.52,1.74,0.4893774092197418,0.013273205608129501,0.0011193156242370605,0.0008265779470093548,0.03604033589363098,0.026004165410995483,0.046402979642152786
Pythia_minus,etajet,9,1.74,1.95,0.4298754930496216,0.012942997738718987,0.0002753734588623047,0.0015332410112023354,0.021441608667373657,0.023061394691467285,0.03408105671405792
Pythia_minus,etajet,10,1.95,2.18,0.46058008074760437,0.014640257693827152,0.0010315477848052979,0.0021115760318934917,0.02638918161392212,0.02750876545906067,0.040902093052864075
Pythia_minus,etajet,11,2.18,2.5,0.4140009582042694,0.012855389155447483,0.0018101930618286133,0.0018554332200437784,0.027474671602249146,0.01810184121131897,0.03541912883520126
