pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Herwig_minus,phijet,1,-1.0,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,phijet,2,-0.84,-0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,phijet,3,-0.6799999999999999,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,phijet,4,-0.52,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,phijet,5,-0.36,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,phijet,6,-0.19999999999999996,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,phijet,7,-0.040000000000000036,0.1200000000000001,0.6479496955871582,0.03306150436401367,0.003275573253631592,0.002172559266909957,0.0,0.0,0.03329433128237724
Herwig_minus,phijet,8,0.1200000000000001,0.28,0.6479322910308838,0.029459448531270027,0.0004417896270751953,0.00031773862428963184,0.0,0.0,0.029464473947882652
Herwig_minus,phijet,9,0.28,0.43999999999999995,0.6866171360015869,0.030884748324751854,0.0004911422729492188,0.0003730175958480686,0.0,0.0,0.03089090622961521
Herwig_minus,phijet,10,0.43999999999999995,0.6000000000000001,0.7019633650779724,0.03141721710562706,0.0035772323608398438,0.0023872326128184795,0.0,0.0,0.03171020373702049
Herwig_minus,phijet,11,0.6000000000000001,0.76,0.7194360494613647,0.03202076628804207,0.0003948807716369629,0.0004399927565827966,0.0,0.0,0.032026223838329315
Herwig_minus,phijet,12,0.76,0.9199999999999999,0.6088529825210571,0.027188897132873535,0.0026574134826660156,0.0017765817465260625,0.0,0.0,0.027376161888241768
Herwig_minus,phijet,13,0.9199999999999999,1.08,0.6599693298339844,0.03006116673350334,0.0018456578254699707,0.0012662309454753995,0.0,0.0,0.030144378542900085
