pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Pythia_plus,etajet,1,0.0,0.21,0.5367162227630615,0.011465697549283504,0.00254058837890625,0.001406293362379074,0.03393959999084473,0.031186223030090332,0.04758541285991669
Pythia_plus,etajet,2,0.21,0.42,0.5476343035697937,0.01174805499613285,0.0023915767669677734,0.0013814570847898722,0.029439270496368408,0.03355896472930908,0.04624412953853607
Pythia_plus,etajet,3,0.42,0.63,0.5240909457206726,0.011507855728268623,0.00238877534866333,0.0009231946314685047,0.030550241470336914,0.027197062969207764,0.04256743937730789
Pythia_plus,etajet,4,0.63,0.84,0.5139846205711365,0.01146173756569624,0.0011710524559020996,0.0019523880910128355,0.03414720296859741,0.030135154724121094,0.047018226236104965
Pythia_plus,etajet,5,0.84,1.05,0.48488476872444153,0.0113363116979599,0.0012961030006408691,0.000804765208158642,0.022412925958633423,0.029017478227615356,0.03840823844075203
Pythia_plus,etajet,6,1.05,1.37,0.5183442831039429,0.010223966091871262,0.0010971426963806152,0.001089170342311263,0.042602717876434326,0.029954612255096436,0.053096044808626175
Pythia_plus,etajet,7,1.37,1.52,0.4976898431777954,0.015246059745550156,0.00010305643081665039,0.0013927101390436292,0.026834040880203247,0.029676496982574463,0.0428386852145195
Pythia_plus,etajet,8,1.52,1.74,0.48823082447052,0.013331742957234383,0.0005740523338317871,0.0005694838473573327,0.031381309032440186,0.02481740713119507,0.042179133743047714
Pythia_plus,etajet,9,1.74,1.95,0.46390852332115173,0.01391641702502966,0.00019475817680358887,0.0002835738705471158,0.04317715764045715,0.02687397599220276,0.05272819474339485
Pythia_plus,etajet,10,1.95,2.18,0.4329026937484741,0.013653112575411797,0.001231372356414795,0.0011983935255557299,0.022494137287139893,0.027089089155197144,0.03780429810285568
Pythia_plus,etajet,11,2.18,2.5,0.4208952486515045,0.01274858694523573,0.0022634267807006836,0.0017558137187734246,0.03824576735496521,0.02517905831336975,0.04761781170964241
