pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Herwig_minus,ptjet,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,ptjet,2,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,ptjet,3,20.0,30.0,0.7057125568389893,0.010563290677964687,0.001333475112915039,0.0008764610392972827,0.0,0.0,0.010683138854801655
Herwig_minus,ptjet,4,30.0,40.0,0.6697036623954773,0.008773506619036198,0.0013320446014404297,0.0008822116651572287,0.0,0.0,0.008917794562876225
Herwig_minus,ptjet,5,40.0,50.0,0.6568349599838257,0.011359363794326782,0.0013222098350524902,0.000885812274646014,0.0,0.0,0.01147031132131815
Herwig_minus,ptjet,6,50.0,60.0,0.6564934849739075,0.014496811665594578,0.0007669925689697266,0.0005315553862601519,0.0,0.0,0.014526816084980965
Herwig_minus,ptjet,7,60.0,70.0,0.6888093948364258,0.019145090132951736,0.00014334917068481445,0.00018907860794570297,0.0,0.0,0.01914655975997448
Herwig_minus,ptjet,8,70.0,80.0,0.6914843916893005,0.024096589535474777,0.0003559589385986328,0.00026846971013583243,0.0,0.0,0.024100713431835175
Herwig_minus,ptjet,9,80.0,90.0,0.711915135383606,0.031358834356069565,0.0034384727478027344,0.0022791149094700813,0.0,0.0,0.03162900358438492
Herwig_minus,ptjet,10,90.0,100.0,0.7170251607894897,0.03941771760582924,0.001283407211303711,0.0010529931169003248,0.0,0.0,0.03945266082882881
Herwig_minus,ptjet,11,100.0,110.0,0.7639952898025513,0.05332847684621811,0.006691455841064453,0.004516111221164465,0.0,0.0,0.05393604934215546
Herwig_minus,ptjet,12,110.0,120.0,0.8176515698432922,0.06579995900392532,0.006779789924621582,0.00500883674249053,0.0,0.0,0.0663376897573471
Herwig_minus,ptjet,13,120.0,130.0,0.836661159992218,0.084046371281147,0.003510117530822754,0.002949449699372053,0.0,0.0,0.08417133241891861
Herwig_minus,ptjet,14,130.0,140.0,0.8340084552764893,0.0985497459769249,0.0010173320770263672,0.001163960318081081,0.0,0.0,0.09856186807155609
Herwig_minus,ptjet,15,140.0,150.0,0.876420795917511,0.1264059841632843,0.010771453380584717,0.008353888988494873,0.0,0.0,0.12713883817195892
Herwig_minus,ptjet,16,150.0,160.0,0.6277974843978882,0.10439328104257584,0.012873828411102295,0.008966244757175446,0.0,0.0,0.10556555539369583
Herwig_minus,ptjet,17,160.0,170.0,1.1884925365447998,0.26424074172973633,0.05739712715148926,0.038402166217565536,0.0,0.0,0.27311596274375916
Herwig_minus,ptjet,18,170.0,180.0,0.8948652148246765,0.20433329045772552,0.010173141956329346,0.007273539435118437,0.0,0.0,0.20471563935279846
Herwig_minus,ptjet,19,180.0,200.0,0.9084234237670898,0.16881342232227325,0.00853341817855835,0.005974024999886751,0.0,0.0,0.1691344976425171
Herwig_minus,ptjet,20,200.0,220.0,1.4488295316696167,0.3842713236808777,0.007640242576599121,0.0125371553003788,0.0,0.0,0.3845517039299011
Herwig_minus,ptjet,21,220.0,240.0,0.6914870738983154,0.2243480086326599,0.019895553588867188,0.014376035891473293,0.0,0.0,0.22568680346012115
Herwig_minus,ptjet,22,240.0,260.0,1.8768937587738037,0.8298518061637878,0.03467869758605957,0.02149207703769207,0.0,0.0,0.8308541178703308
Herwig_minus,ptjet,23,260.0,280.0,2.24733304977417,1.2849618196487427,0.025753021240234375,0.015424559824168682,0.0,0.0,1.2853124141693115
Herwig_minus,ptjet,24,280.0,300.0,0.6914870142936707,0.437334805727005,0.024016380310058594,0.024285893887281418,0.0,0.0,0.43866652250289917
